Date,Close,High,Low,Open,Volume,SMA_50,EMA_50,RSI_14,EMA_12,EMA_26,MACD,SMA_20,STD_20,Upper_Band,Lower_Band,High-Low,High-PrevClose,Low-PrevClose,TR,ATR_14,OBV,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalShareholderEquity,shortTermDebt,longTermDebt,commonStockSharesOutstanding,netIncome,EPS,Total_Debt,DE_Ratio,Current_Ratio,ROA,ROE
2010-01-04,15.609804153442383,15.678545367104276,15.547291173733537,15.614785221986361,78169752,,15.609804153442383,,15.609804153442383,15.609804153442383,0.0,,,,,0.1312541933707383,,,0.1312541933707383,,-78169752,42871000000,31132000000,2922000000,38283000000,450000000.0,,12904314838,1955000000,0.15149971343251878,,,10.654346338124572,0.045601922045205384,0.05106705326123867
2010-01-05,15.541064262390137,15.636952681575654,15.480045222123497,15.620514585503575,120067812,,15.607108471440334,,15.599228785588192,15.604712309660734,-0.005483524072541712,,,,,0.15690745945215667,0.027148528133270844,0.12975893131888583,0.15690745945215667,,-198237564,42871000000,31132000000,2922000000,38283000000,450000000.0,,12904314838,1955000000,0.15149971343251878,,,10.654346338124572,0.045601922045205384,0.05106705326123867
2010-01-06,15.149293899536133,15.587638382126233,15.101972798128717,15.587638382126233,158988852,,15.589154958816641,,15.530008033887876,15.570977612614467,-0.04096957872659068,,,,,0.48566558399751614,0.046574119736096264,0.4390914642614199,0.48566558399751614,,-357226416,42871000000,31132000000,2922000000,38283000000,450000000.0,,12904314838,1955000000,0.15149971343251878,,,10.654346338124572,0.045601922045205384,0.05106705326123867
2010-01-07,14.796624183654785,15.192629557395431,14.76051143817071,15.17768540323104,256315428,,15.558075320575,,15.417179749236631,15.513618099358194,-0.09643835012156288,,,,,0.43211811922472165,0.04333565785929849,0.38878246136542316,0.43211811922472165,,-613541844,42871000000,31132000000,2922000000,38283000000,450000000.0,,12904314838,1955000000,0.15149971343251878,,,10.654346338124572,0.045601922045205384,0.05106705326123867
2010-01-08,14.993881225585938,15.024514607804292,14.672344134111194,14.744322853674667,188783028,,15.535950061947979,,15.352056899444216,15.47511907167136,-0.12306217222714366,,,,,0.3521704736930982,0.227890424149507,0.12428004954359118,0.3521704736930982,,-424758816,42871000000,31132000000,2922000000,38283000000,450000000.0,,12904314838,1955000000,0.15149971343251878,,,10.654346338124572,0.045601922045205384,0.05106705326123867
2010-01-11,14.971216201782227,15.054650996229643,14.79513049733118,15.054650996229643,288227484,,15.513803636059126,,15.293466022880832,15.437792933161054,-0.14432691028022226,,,,,0.25952049889846407,0.06076977064370581,0.19875072825475826,0.25952049889846407,,-712986300,42871000000,31132000000,2922000000,38283000000,450000000.0,,12904314838,1955000000,0.15149971343251878,,,10.654346338124572,0.045601922045205384,0.05106705326123867
2010-01-12,14.706465721130371,14.897743301517414,14.644698765179598,14.885041007750196,193937868,,15.482143325669764,,15.20315828414999,15.383620547084707,-0.18046226293471612,,,,,0.253044536337816,0.07347290026481268,0.32651743660262866,0.32651743660262866,,-906924168,42871000000,31132000000,2922000000,38283000000,450000000.0,,12904314838,1955000000,0.15149971343251878,,,10.654346338124572,0.045601922045205384,0.05106705326123867
2010-01-13,14.622034072875977,14.654162342794578,14.29352464851537,14.35803081124736,259604136,,15.4484135510504,,15.113754559338604,15.327206734180356,-0.21345217484175194,,,,,0.3606376942792071,0.05230337833579313,0.41294107261500024,0.41294107261500024,,-1166528304,42871000000,31132000000,2922000000,38283000000,450000000.0,,12904314838,1955000000,0.15149971343251878,,,10.654346338124572,0.045601922045205384,0.05106705326123867
2010-01-14,14.690774917602539,14.79911600393113,14.51543713174898,14.542584334489048,169434396,,15.418702232091661,,15.048680768302287,15.280063636656074,-0.23138286835378707,,,,,0.2836788721821506,0.17708193105515413,0.10659694112699647,0.2836788721821506,,-997093908,42871000000,31132000000,2922000000,38283000000,450000000.0,,12904314838,1955000000,0.15149971343251878,,,10.654346338124572,0.045601922045205384,0.05106705326123867
2010-01-15,14.445451736450195,14.783176343503463,14.39663479736933,14.777696029186723,217162620,,15.380535545988074,,14.955876301863505,15.21824053293712,-0.2623642310736152,,,,,0.38654154613413283,0.09240142590092404,0.2941401202332088,0.38654154613413283,,-1214256528,42871000000,31132000000,2922000000,38283000000,450000000.0,,12904314838,1955000000,0.15149971343251878,,,10.654346338124572,0.045601922045205384,0.05106705326123867
2010-01-19,14.635233879089355,14.704970733761092,14.353049904961972,14.475338548966871,172495332,,15.351308029639105,,14.90654669835979,15.175054854874322,-0.26850815651453175,,,,,0.3519208287991198,0.2595189973108969,0.0924018314882229,0.3519208287991198,,-1041761196,42871000000,31132000000,2922000000,38283000000,450000000.0,,12904314838,1955000000,0.15149971343251878,,,10.654346338124572,0.045601922045205384,0.05106705326123867
2010-01-20,14.455662727355957,14.594388524120069,14.328145283998984,14.594388524120069,129897972,,15.316184684451532,,14.83717993358997,15.121766549132222,-0.28458661554225095,,,,,0.266243240121085,0.04084535496928687,0.3070885950903719,0.3070885950903719,,-1171659168,42871000000,31132000000,2922000000,38283000000,450000000.0,,12904314838,1955000000,0.15149971343251878,,,10.654346338124572,0.045601922045205384,0.05106705326123867
2010-01-21,14.519671440124512,14.615310233793883,14.252430659457453,14.531128467221322,252055692,,15.284948870948512,,14.788332473056823,15.077166911427947,-0.2888344383711239,,,,,0.36287957433643037,0.1596475064379259,0.20323206789850445,0.36287957433643037,,-919603476,42871000000,31132000000,2922000000,38283000000,450000000.0,,12904314838,1955000000,0.15149971343251878,,,10.654346338124572,0.045601922045205384,0.05106705326123867
2010-01-22,13.698522567749023,14.21133535685338,13.321197124458369,14.059409914939225,271743984,,15.22273607474461,17.61482774222739,14.620669410701776,14.97504510819247,-0.35437569749069375,,,,,0.890138232395012,0.30833608327113105,1.198474315666143,1.198474315666143,0.38911989786161943,-1191347460,42871000000,31132000000,2922000000,38283000000,450000000.0,,12904314838,1955000000,0.15149971343251878,,,10.654346338124572,0.045601922045205384,0.05106705326123867
2010-01-25,13.449213027954102,13.69528426006757,13.33738481575297,13.613342458148045,176619204,,15.15318615134106,16.242542361769225,14.44044535181752,14.862020509656295,-0.42157515783877564,,,,,0.35789944431460086,0.0032383076814532785,0.36113775199605413,0.36113775199605413,0.405540152049142,-1367966664,42871000000,31132000000,2922000000,38283000000,450000000.0,,12904314838,1955000000,0.15149971343251878,,,10.654346338124572,0.045601922045205384,0.05106705326123867
2010-01-26,13.509485244750977,13.688310157449083,13.356812839613502,13.398654573782876,174045780,,15.088727292259096,18.174038564681283,14.297220719961128,14.7618327122559,-0.46461199229477224,,,,,0.3314973178355807,0.23909712949498108,0.0924001883405996,0.3314973178355807,0.4180108562193866,-1193920884,42871000000,31132000000,2922000000,38283000000,450000000.0,,12904314838,1955000000,0.15149971343251878,,,10.654346338124572,0.045601922045205384,0.05106705326123867
